Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Kuwait,1.36977,1.43219,1.49749,1.56582,1.63731,1.73282,1.81154,1.89154,1.9732,2.05683,2.14206,0.95422,1.41829,1.48398,1.55165,1.62105,1.69316,1.76564,1.83621,1.90567,1.97408,2.04256,2.11225,2.18395,2.25843,2.33662,2.41946,2.50672,2.59806,2.69253,2.78913
Lebanon,2.8987,2.9517,3.0056,3.06024,3.11544,3.17096,3.22558,3.27798,3.32778,3.37448,3.44018,3.50613,3.54803,3.58539,3.62071,3.6539,3.68504,3.71429,3.74182,3.76753,3.7915,3.81411,3.83546,3.85548,3.87449,3.89239,3.8511,3.89556,4.03802,4.09932,4.12525
Oman,1.18548,1.24951,1.3136,1.37675,1.43812,1.49723,1.55439,1.61167,1.67076,1.73179,1.79438,1.86607,1.93949,2.01457,2.07679,2.13857,2.19966,2.25973,2.31861,2.37618,2.43238,2.4873,2.54108,2.59379,2.64561,2.69689,2.7482,2.80028,2.85388,2.90963,2.96772
Qatar,0.2369,0.24928,0.25961,0.29241,0.32447,0.35603,0.38726,0.39695,0.41346,0.43016,0.44613,0.46112,0.47581,0.49104,0.50626,0.52121,0.53602,0.55086,0.57056,0.59711,0.62696,0.65885,0.69173,0.72512,0.75882,0.78567,0.80258,0.8149,0.82479,0.83329,0.84093
Saudi Arabia,10.02152,10.65493,11.28881,11.95226,12.60694,13.33007,13.9983,14.61975,15.23313,15.82936,16.06076,16.30577,17.06075,17.63636,18.20242,18.75504,19.29336,19.81838,20.32909,20.82455,21.3119,21.79609,22.27404,22.74289,23.20004,23.64221,24.0732,24.49852,24.91741,25.32887,25.73178
Syria,8.75241,9.04923,9.38665,9.73512,10.09494,10.46614,10.84857,11.24297,11.64601,12.05294,12.5,12.93313,13.31165,13.68518,14.06143,14.44857,14.8437,15.24445,15.64985,16.05894,16.47124,16.88507,17.29982,17.71535,18.13682,18.56267,19.32269,20.48772,21.32486,21.76298,22.19811
United Arab Emirates,1.00029,1.06972,1.13755,1.2091,1.28439,1.36348,1.44657,1.53044,1.62275,1.72206,1.82625,1.93669,2.05629,2.1842,2.31918,2.45798,2.59958,2.74633,2.8985,3.05608,3.2193,3.38733,3.5581,3.7317,3.90795,4.0866,4.26591,4.44401,4.6214,4.79849,4.97559
Yemen,9.13255,9.39014,9.65762,9.93626,10.22927,10.53993,10.86958,11.21934,11.59107,11.98639,12.41608,12.88242,13.368,13.88576,14.39475,14.86156,15.32572,15.81571,16.3272,16.85909,17.40726,17.97054,18.5462,19.13411,19.73383,20.34467,20.96452,21.59104,22.22285,22.85824,23.49536
Africa,478.96479,493.63386,508.69882,523.66026,538.6777,553.7385,569.05927,584.06285,599.18529,614.7485,630.91638,647.76698,664.43368,680.91751,696.76671,713.37126,730.48755,747.90581,765.93193,784.59937,803.61288,823.10298,843.06171,863.1923,883.59024,904.41715,925.68403,947.55885,969.97221,992.58225,1015.47842
Algeria,18.80606,19.40704,20.03375,20.68098,21.34055,22.00845,22.64254,23.25496,23.88077,24.49631,25.08903,25.68708,26.29845,26.91644,27.52148,28.08915,28.60404,29.08356,29.53558,29.97982,30.42923,30.87431,31.31248,31.7409,32.15767,32.56074,32.95925,33.36274,33.76967,34.17819,34.58618
Angola,6.74308,6.87957,7.01853,7.24054,7.44245,7.58471,7.74863,7.8784,8.02339,8.15384,8.29661,8.49681,8.74184,8.96626,9.17228,9.41912,9.65061,9.85558,10.03917,10.21544,10.37727,10.53839,10.76051,11.05709,11.39113,11.70695,11.99281,12.2636,12.53136,12.79929,13.06816
Benin,3.45806,3.56485,3.67513,3.78904,3.90705,4.03048,4.15785,4.28791,4.42211,4.56116,4.70544,4.85506,5.01014,5.25036,5.48815,5.64683,5.82023,6.00623,6.20232,6.40677,6.61912,6.83901,7.06449,7.29371,7.52683,7.77771,8.03171,8.27816,8.53255,8.79183,9.05601
Botswana,0.90048,0.93444,0.97065,1.00702,1.0434,1.07969,1.11576,1.15201,1.18894,1.22652,1.26461,1.3031,1.34473,1.38935,1.43369,1.47759,1.52091,1.56319,1.60401,1.64294,1.67968,1.71401,1.74618,1.77709,1.80783,1.84012,1.87578,1.91342,1.95205,1.99088,2.02931
Burkina Faso,6.31819,6.47437,6.63723,6.80728,6.98504,7.17093,7.3711,7.59181,7.83349,8.09154,8.36104,8.64225,8.93497,9.2377,9.57065,9.90278,10.22018,10.54257,10.87271,11.22531,11.58775,12.03936,12.58496,13.06539,13.47809,13.90389,14.34353,14.79717,15.26474,15.74623,16.24181
Burundi,4.29821,4.47776,4.58491,4.7052,4.81683,4.92176,5.01886,5.14452,5.27884,5.40437,5.53564,5.67438,5.85649,5.68543,5.74968,6.16495,6.20373,6.24364,6.41743,6.63114,6.8227,7.04302,7.28679,7.55265,7.85873,8.16194,8.46451,8.78294,9.13931,9.51133,9.86312
Cameroon,8.76249,9.04792,9.28255,9.56272,9.86713,10.19137,10.53015,10.8671,11.20098,11.54012,11.8845,12.2303,12.57475,12.92047,13.26417,13.60316,13.94474,14.29013,14.63798,14.9885,15.34304,15.70686,16.09444,16.48901,16.87275,17.26147,17.65786,18.06038,18.46769,18.8793,19.29415
Cape Verde,0.29645,0.3002,0.30409,0.3082,0.31249,0.31689,0.32134,0.32587,0.3305,0.33517,0.33976,0.34683,0.35649,0.36624,0.37592,0.38543,0.3948,0.404,0.41297,0.42168,0.43013,0.43845,0.4467,0.45483,0.4628,0.4706,0.47831,0.48599,0.49362,0.50118,0.50866
Central African Republic,2.34878,2.41277,2.47757,2.54328,2.62927,2.71415,2.77536,2.84088,2.91718,2.99987,3.08497,3.17449,3.26652,3.36703,3.46585,3.54441,3.62161,3.70738,3.79796,3.88922,3.97986,4.05393,4.12842,4.21492,4.28875,4.36304,4.44895,4.54373,4.64132,4.74192,4.84493
Chad,4.52239,4.51494,4.73288,4.97116,5.02517,5.06604,5.2142,5.39152,5.55634,5.71491,5.84141,6.02822,6.26327,6.3791,6.49669,6.76969,7.051,7.26171,7.47932,7.70874,7.94268,8.17941,8.43619,8.74574,9.09766,9.40066,9.64896,9.88566,10.11134,10.32921,10.54346
Comoros,0.33351,0.34088,0.34882,0.3572,0.36603,0.3753,0.38505,0.39528,0.40603,0.41731,0.42914,0.44154,0.45453,0.4681,0.48226,0.49701,0.51232,0.52812,0.54444,0.56126,0.57863,0.59646,0.61467,0.63327,0.65226,0.67164,0.69137,0.71142,0.73178,0.75244,0.77341
Congo (Brazzaville),1.67429,1.72374,1.77516,1.82856,1.88398,1.94177,2.00214,2.06497,2.13006,2.19717,2.266,2.3374,2.4104,2.48894,2.57029,2.65,2.73125,2.80247,2.88,2.97232,3.10394,3.23999,3.33042,3.41425,3.50374,3.604,3.70406,3.80233,3.90501,4.01281,4.12592
Congo (Kinshasa),29.01255,29.80802,30.64884,31.44687,32.34098,33.34422,34.37623,35.48216,36.62816,37.80413,39.04746,40.36625,41.6454,43.02695,44.48648,46.29859,47.19667,47.73982,48.75971,50.28355,51.84855,53.49657,55.20041,56.88554,58.62998,60.47351,62.37591,64.3902,66.51451,68.69254,70.91644
Cote dIvoire (IvoryCoast),8.59326,8.92247,9.25983,9.60646,9.96343,10.33168,10.71206,11.10527,11.51174,11.93065,12.49088,13.03952,13.42214,13.86057,14.37992,14.8458,15.28145,15.68623,16.04536,16.45688,16.88458,17.31097,17.68765,18.068,18.50438,18.9205,19.3268,19.74695,20.1796,20.61707,21.0588
Djibouti,0.32687,0.34483,0.35616,0.37012,0.37461,0.38222,0.39651,0.40946,0.41715,0.44245,0.49919,0.55198,0.54709,0.53443,0.54689,0.55303,0.56843,0.59249,0.62088,0.64626,0.66942,0.69299,0.71635,0.69078,0.65741,0.6664,0.67914,0.69438,0.7092,0.72462,0.74053
Egypt,42.63422,44.1961,45.68181,47.09303,48.55016,50.05238,51.59343,52.3751,53.16221,53.94841,54.90738,55.86165,56.62499,57.3843,58.15695,58.94503,59.75782,61.07191,62.41172,63.77347,65.15855,66.57408,68.02312,69.50186,71.00947,72.54351,74.10059,75.67654,77.26669,78.86664,80.47187
Equatorial Guinea,0.25601,0.27178,0.28548,0.29958,0.31464,0.32519,0.33365,0.34247,0.35165,0.36119,0.3711,0.38138,0.39202,0.40304,0.41444,0.42623,0.43842,0.45103,0.46406,0.47754,0.49148,0.50592,0.52076,0.53593,0.55142,0.56723,0.58335,0.59976,0.61646,0.63344,0.6507
Ethiopia,38.6052,40.35937,42.18999,43.4599,44.5123,45.16862,45.98822,47.22622,48.67474,50.12821,51.53533,53.20516,54.76061,56.03139,54.03425,55.54997,57.19265,58.80542,60.4839,62.2794,64.16496,66.12258,68.18727,70.36607,72.63721,74.98029,77.4114,79.9358,82.54484,85.23734,88.01349
Gabon,0.71383,0.73084,0.75424,0.77902,0.80526,0.83304,0.85945,0.88092,0.89974,0.91884,0.93808,0.96043,0.98637,1.01316,1.04081,1.06907,1.09771,1.12694,1.15717,1.19565,1.23643,1.26915,1.30042,1.33262,1.36441,1.39569,1.42639,1.45645,1.48583,1.51499,1.54526
"Gambia, The",0.67052,0.69266,0.71552,0.73914,0.764,0.79055,0.81876,0.8487,0.88042,0.91399,0.94943,0.98663,1.02546,1.06595,1.10758,1.1498,1.19258,1.23585,1.27957,1.3237,1.36822,1.41305,1.45811,1.5034,1.54888,1.59451,1.64029,1.68614,1.73208,1.77808,1.82416
Ghana,11.01119,11.17096,11.39415,12.15058,12.83231,13.22862,13.78192,14.17388,14.57413,14.98276,15.40774,15.84823,16.29285,16.80537,17.30185,17.70406,18.08539,18.47351,18.88771,19.3145,19.75162,20.19629,20.66146,21.1372,21.60098,22.06238,22.52438,22.9807,23.43457,23.88781,24.33984
Guinea,4.44737,4.54036,4.63601,4.7344,4.95358,5.22674,5.39433,5.52841,5.66683,5.80969,6.11845,6.55247,6.80052,6.98911,7.20949,7.4457,7.70157,7.79106,7.90661,8.1544,8.35041,8.41692,8.5203,8.75554,8.97198,9.15373,9.34573,9.56922,9.80651,10.05798,10.32403
Guinea-Bissau,0.7889,0.80706,0.82577,0.84501,0.86478,0.88506,0.90593,0.92741,0.94954,0.97239,0.99599,1.02022,1.051,1.08446,1.11651,1.14333,1.16626,1.19411,1.22224,1.25041,1.27886,1.30645,1.33312,1.35992,1.38693,1.41416,1.44275,1.47278,1.50318,1.53396,1.56513
Kenya,16.33054,16.98722,17.65997,18.34799,19.05021,19.76149,20.47712,21.19578,21.91587,22.63477,23.35448,24.12143,25.01897,25.81755,26.45452,27.12391,27.79029,28.45861,29.12289,29.7955,30.50798,31.2987,32.15532,33.04178,33.96709,34.91178,35.89065,36.91372,37.95384,39.00277,40.04657
Lesotho,1.35857,1.39518,1.43282,1.47148,1.51111,1.55164,1.5866,1.61569,1.64484,1.67402,1.70326,1.7325,1.76171,1.79079,1.8195,1.84757,1.86905,1.88354,1.8966,1.90767,1.91632,1.92234,1.92564,1.92635,1.9249,1.92212,1.9192,1.91686,1.91547,1.91613,1.91955
Liberia,1.8571,1.913,1.97148,2.03237,2.09577,2.16175,2.23038,2.30176,2.37595,2.45297,2.13859,1.81471,1.89388,1.95263,1.91753,1.90028,1.93223,2.09745,2.34951,2.49539,2.60067,2.67979,2.75304,2.76968,2.79594,2.93008,3.10761,3.26994,3.44037,3.58339,3.68508
Libya,3.06862,3.20768,3.34789,3.48858,3.62917,3.68003,3.70454,3.80514,3.91898,4.03295,4.14639,4.25939,4.372,4.48362,4.59332,4.66286,4.69528,4.76892,4.8841,5.00314,5.12544,5.25089,5.37924,5.51013,5.64308,5.77753,5.91323,6.0499,6.18704,6.32436,6.46145
Madagascar,8.69125,8.93876,9.19587,9.46302,9.74054,10.02863,10.32739,10.63688,10.95734,11.28916,11.63287,11.98871,12.35668,12.73661,13.12841,13.53236,13.94848,14.3766,14.81658,15.27126,15.74194,16.22682,16.72589,17.23952,17.76815,18.31216,18.87216,19.44882,20.04255,20.65356,21.28184
Malawi,6.25893,6.45967,6.66854,6.88393,7.10435,7.33001,7.60855,8.05274,8.58662,9.09083,9.546,9.93081,10.3096,10.49511,10.32045,10.26405,10.52681,10.83884,11.15534,11.47685,11.80151,12.12867,12.46009,12.7968,13.14014,13.49211,13.85568,14.23279,14.62368,15.02876,15.4475
Mali,6.82161,6.95002,7.08238,7.21901,7.36021,7.5062,7.65726,7.81357,7.97719,8.15635,8.32711,8.51187,8.7424,8.95321,9.17522,9.33602,9.5158,9.78384,10.04609,10.33565,10.62082,10.91763,11.21969,11.5228,11.82733,12.13382,12.44653,12.76879,13.10081,13.44323,13.79635
Mauritania,1.54491,1.57765,1.61189,1.64759,1.68477,1.72347,1.76368,1.80539,1.8485,1.88583,1.92498,1.97343,2.04282,2.11924,2.18334,2.23479,2.27068,2.31522,2.3741,2.43691,2.50087,2.56579,2.63185,2.69924,2.76795,2.83794,2.9091,2.98145,3.05493,3.12949,3.20506
Mauritius,0.9637,0.97905,0.99204,1.00218,1.01204,1.02054,1.02823,1.03627,1.04494,1.0534,1.0616,1.07172,1.08481,1.09864,1.1113,1.12312,1.13534,1.14835,1.16066,1.17313,1.18593,1.19788,1.20959,1.221,1.23206,1.24282,1.25343,1.2639,1.27419,1.28426,1.2941
Morocco,19.48727,19.84622,20.19873,20.6794,21.16079,21.64379,22.12744,22.61059,23.08648,23.5498,23.99997,24.43372,24.86108,25.29264,25.72317,26.1476,26.56357,26.96872,27.36105,27.74199,28.11304,28.47748,28.8389,29.19706,29.55151,29.90096,30.24777,30.59445,30.94046,31.28517,31.62743
Mozambique,12.10262,12.36323,12.58733,12.77284,12.92282,13.0626,13.14302,12.89485,12.52301,12.4821,12.66657,12.9348,13.18,13.69137,14.78146,15.76475,16.29834,16.75966,17.22003,17.67673,18.12456,18.55916,18.97917,19.38308,19.77284,20.15401,20.53002,20.90558,21.2847,21.66928,22.06145
Niger,6.09347,6.239,6.38918,6.54413,6.70405,6.86921,7.03981,7.21596,7.39913,7.60756,7.84173,8.08532,8.33919,8.60931,8.89259,9.19933,9.52474,9.8513,10.19566,10.56322,10.95143,11.36215,11.79208,12.23931,12.70466,13.18887,13.69295,14.21471,14.75208,15.30625,15.87827
Nigeria,74.82127,77.14958,79.51098,81.16374,82.72429,84.88938,87.09224,89.40502,91.76042,94.15965,96.60376,99.0925,101.62507,104.19968,106.81404,109.46508,112.14902,114.86204,117.59957,120.3692,123.17882,126.01433,128.86432,131.72752,134.60451,137.49506,140.39777,143.3121,146.25531,149.22909,152.21734
Reunion,0.51,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.59,0.6,0.607,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.7,0.72,0.73257,0.74387,0.75517,0.76615,0.76615,0.76615,0.76615,0.76615,0.76615,0.76615
Rwanda,5.13984,5.30899,5.48328,5.66317,5.83374,5.98659,6.16171,6.3728,6.59722,6.81686,6.99932,7.14374,7.29857,7.59668,6.50553,5.47298,6.54646,7.64742,8.04184,8.22235,8.39841,8.61098,8.85737,9.09847,9.36125,9.61107,9.85722,10.14108,10.44077,10.74631,11.05598
Saint Helena,0.00647,0.00658,0.00664,0.00675,0.00749,0.00794,0.00831,0.00654,0.00659,0.00663,0.00668,0.00673,0.00678,0.00684,0.00689,0.00695,0.007,0.00706,0.00712,0.00718,0.00723,0.00728,0.00734,0.00739,0.00743,0.00748,0.00752,0.00756,0.0076,0.00764,0.00767
Sao Tome and Principe,0.09407,0.09644,0.09824,0.10013,0.10212,0.10419,0.10635,0.1086,0.11094,0.11338,0.11593,0.1186,0.12091,0.12285,0.12492,0.12714,0.12953,0.13209,0.1348,0.13767,0.14069,0.14385,0.14713,0.15051,0.15397,0.15751,0.16111,0.16475,0.16842,0.1721,0.17581
Senegal,5.61133,5.75446,5.90285,6.05554,6.2137,6.37841,6.54979,6.72784,6.91257,7.12729,7.34761,7.55397,7.75925,7.961,8.16615,8.37806,8.59491,8.80985,9.03714,9.25282,9.46928,9.7162,9.97244,10.24014,10.51912,10.80412,11.09611,11.3943,11.69834,12.00807,12.32325
Seychelles,0.06395,0.0647,0.06528,0.06585,0.0665,0.06718,0.06784,0.06846,0.0692,0.07001,0.0708,0.07165,0.0725,0.07332,0.07413,0.07493,0.07571,0.07641,0.07717,0.07814,0.07916,0.08017,0.08113,0.08205,0.08297,0.08389,0.0848,0.0857,0.0866,0.08748,0.08834
Sierra Leone,3.33503,3.40215,3.47225,3.54564,3.62254,3.70309,3.78739,3.87558,3.96778,4.06415,4.2282,4.3349,4.24628,4.09967,3.97796,3.88144,3.8105,3.76521,3.74573,3.73557,3.80906,4.04341,4.28683,4.46568,4.6022,4.70805,4.81762,4.91833,5.023,5.13214,5.2457
Somalia,5.79356,5.8288,5.8345,6.01035,6.21774,6.45854,6.71493,6.93908,6.91829,6.76633,6.69204,6.46448,6.11621,6.10102,6.26444,6.40072,6.57426,6.75108,6.9652,7.17102,7.38572,7.62677,7.89678,8.17424,8.45947,8.75245,9.03018,9.29161,9.55867,9.83202,10.11245
South Africa,30.30961,31.24317,32.2392,33.27827,34.35109,35.45826,36.34173,37.22598,38.12772,39.04797,38.47627,39.29952,40.09107,40.94061,41.66156,42.22792,42.79396,43.35363,43.96192,44.52627,45.0641,45.57622,46.07695,46.56663,47.03287,47.48345,47.92567,48.36713,48.78276,49.05249,49.10911
Sudan,19.48245,20.19661,20.94364,21.69704,22.40189,23.14525,23.78422,24.2799,24.67247,25.19269,25.8881,26.76895,27.66838,28.39476,29.16041,29.95296,30.63013,31.4161,32.36192,33.22446,34.1093,35.02449,35.9266,36.70783,37.44223,38.36308,39.3964,40.52607,41.68078,42.81128,43.9396
Swaziland,0.61146,0.63131,0.64981,0.67241,0.69634,0.72157,0.74942,0.77759,0.81499,0.8493,0.8816,0.92247,0.95902,0.98872,0.99492,1.00364,1.03245,1.06106,1.0894,1.11714,1.14393,1.16952,1.19371,1.21644,1.23795,1.25898,1.2798,1.29991,1.3191,1.33719,1.35405
Tanzania,18.66506,19.212,19.77679,20.36842,20.98409,21.61843,22.28417,23.01672,23.76376,24.48489,25.21428,25.97254,26.76747,27.69659,28.79766,29.7529,30.39214,31.09265,31.95096,32.80803,33.71212,34.56725,35.3831,36.19879,36.98997,37.77057,38.56853,39.38422,40.21316,41.04853,41.8929
Togo,2.62551,2.71957,2.8166,2.9175,3.02179,3.12943,3.24072,3.35592,3.47514,3.59714,3.72079,3.84605,3.97281,3.95258,3.98199,4.20291,4.40207,4.57245,4.71517,4.85245,4.99183,5.13457,5.27793,5.42496,5.57821,5.71452,5.8654,6.04238,6.22035,6.40501,6.58724
Tunisia,6.44318,6.60571,6.7341,6.85989,7.18453,7.3637,7.54708,7.72802,7.89856,8.05669,8.21101,8.36852,8.52679,8.68412,8.8354,8.97627,9.10886,9.23529,9.35274,9.46255,9.56755,9.67117,9.77448,9.87718,9.97893,10.07938,10.17973,10.28121,10.38358,10.48634,10.58903
Uganda,12.41472,12.72525,13.07893,13.47039,13.91951,14.39174,14.91072,15.52009,16.17642,16.83238,17.45576,18.08214,18.72945,19.42438,20.12759,20.68952,21.24872,21.86101,22.50214,23.22767,23.95582,24.69,25.46958,26.32196,27.23366,28.19939,29.2065,30.26261,31.36797,32.36956,33.39868
Western Sahara,0.12404,0.13909,0.15455,0.16568,0.1724,0.17933,0.18648,0.19385,0.20143,0.20926,0.21737,0.22575,0.2344,0.2433,0.25244,0.26387,0.27767,0.29184,0.30635,0.32118,0.3363,0.35169,0.36739,0.3834,0.39974,0.4154,0.43032,0.4454,0.46063,0.47601,0.49152
Zambia,5.64278,5.83063,6.0475,6.28337,6.50548,6.71579,6.95192,7.19455,7.41797,7.63494,7.85755,8.0883,8.32181,8.55505,8.78912,9.02068,9.25485,9.51552,9.78077,10.05002,10.34517,10.6461,10.91696,11.17251,11.4337,11.71036,12.01326,12.34108,12.69423,13.06068,13.46031
Zimbabwe,7.16997,7.42922,7.63652,7.92834,8.24121,8.56049,8.87678,9.21648,9.56005,9.8682,10.15604,10.43742,10.72025,10.97637,11.08648,11.15949,11.31695,11.46939,11.60692,11.73308,11.82003,11.86786,11.86602,11.81552,11.73505,11.63947,11.54433,11.44319,11.35011,11.39263,11.65186
Asia & Oceania,2469.81743,2518.13689,2563.52187,2610.10261,2655.88059,2702.75408,2751.06581,2802.31491,2853.88173,2904.74454,2954.74639,3002.08385,3049.4639,3097.01107,3144.70448,3191.91196,3238.06006,3282.33448,3325.29036,3367.43739,3408.81144,3450.06017,3490.97008,3531.28903,3570.71937,3609.62956,3648.16942,3686.3589,3724.32335,3762.16099,3799.67028
Afghanistan,15.0436,13.67368,12.57743,12.43058,12.75384,13.09371,13.08496,12.99949,13.09382,13.40714,13.44937,13.52717,14.8552,16.81974,18.28771,19.22594,19.86465,20.49022,21.13212,21.82157,22.02095,22.0222,23.05074,24.38858,25.00134,25.53805,26.23521,26.91153,27.65889,28.39572,29.12129
American Samoa,0.03242,0.0336,0.03471,0.03584,0.03709,0.03863,0.04016,0.04188,0.04362,0.04538,0.0472,0.04857,0.04995,0.05138,0.05273,0.05391,0.05496,0.05597,0.05693,0.05785,0.05777,0.05874,0.05964,0.0605,0.06146,0.0624,0.06322,0.06403,0.06483,0.06563,0.06643
Australia,14.6159,14.92326,15.16178,15.34807,15.51048,15.69524,15.90042,16.13672,16.40073,16.6806,16.95624,17.20212,17.41893,17.6078,17.78109,17.97563,18.19585,18.41526,18.62084,18.83025,19.05319,19.29426,19.53494,19.76654,19.99508,20.23235,20.48947,20.74963,21.00731,21.26264,21.51575
Bangladesh,87.93733,94.14314,96.18533,98.23486,100.27995,102.30835,104.34543,106.38194,108.37452,110.31623,112.21257,113.91068,115.75094,117.62067,119.51509,121.44231,123.43252,125.50582,127.66013,129.87906,132.15077,134.47753,136.86984,139.30503,141.7344,144.13874,146.51711,148.89374,151.28999,153.70033,156.11846
Bhutan,0.44604,0.46195,0.47824,0.49489,0.51189,0.5292,0.54681,0.56472,0.58289,0.59961,0.61474,0.62504,0.60166,0.57669,0.57472,0.56631,0.56533,0.57484,0.58527,0.59563,0.60587,0.61598,0.62594,0.63576,0.64541,0.6549,0.66421,0.67335,0.68232,0.69114,0.69985
Brunei,0.18522,0.19283,0.19886,0.20495,0.21122,0.21784,0.22473,0.23182,0.23888,0.24585,0.25289,0.25925,0.26576,0.27311,0.2805,0.28799,0.29557,0.30311,0.31053,0.3179,0.3253,0.33265,0.33999,0.34726,0.35431,0.36111,0.36782,0.37458,0.38137,0.38819,0.39503
Burma (Myanmar),33.33642,33.98181,34.64219,35.32599,36.03536,36.76587,37.51768,38.28766,39.02532,39.73446,40.46361,41.18056,41.79115,42.43742,43.21759,43.99398,44.72671,45.42617,46.11082,46.78168,47.43887,48.08106,48.71575,49.34468,49.9622,50.57209,51.16167,51.75584,52.22815,52.82612,53.41437
Cambodia,6.88852,7.0792,7.29713,7.53065,7.69058,7.84124,8.10142,8.40395,8.71641,9.03814,9.36752,9.70681,10.14276,10.62423,10.97424,11.23414,11.48458,11.72171,11.94447,12.15466,12.35115,12.53961,12.7292,12.92071,13.10994,13.2974,13.49871,13.71869,13.95701,14.20623,14.45368
China,984.73646,997.00072,1012.49049,1028.35653,1042.75605,1058.00772,1074.52256,1093.72571,1112.86641,1130.72941,1148.36447,1163.61039,1177.53561,1190.76183,1203.80174,1216.37844,1227.88219,1238.12566,1247.50222,1255.9925,1263.63753,1270.74423,1277.59472,1284.30332,1291.0018,1297.76532,1304.26188,1310.58354,1317.06568,1323.59158,1330.14129
Cook Islands,0.01801,0.01765,0.01744,0.01749,0.01774,0.01749,0.01765,0.01767,0.01791,0.01815,0.01839,0.01864,0.01858,0.01851,0.01842,0.01831,0.01818,0.01787,0.01738,0.01686,0.01631,0.01573,0.01515,0.0146,0.01409,0.0136,0.01313,0.01269,0.01227,0.01187,0.01149
Fiji,0.63451,0.64677,0.65891,0.67191,0.68557,0.69894,0.71299,0.71967,0.72637,0.73303,0.73962,0.74617,0.75274,0.75933,0.76592,0.77252,0.77889,0.78561,0.79269,0.79908,0.80493,0.81073,0.81667,0.82318,0.82982,0.83656,0.84395,0.85211,0.86054,0.8685,0.87598
French Polynesia,0.1509,0.15569,0.16042,0.16532,0.17028,0.17541,0.18064,0.18584,0.19117,0.19654,0.20182,0.20708,0.21217,0.21719,0.22207,0.22676,0.2313,0.23577,0.24024,0.24472,0.24918,0.25361,0.25798,0.2623,0.26655,0.27074,0.27487,0.27896,0.28302,0.28703,0.291
Guam,0.10687,0.10917,0.10928,0.11408,0.1173,0.12062,0.12288,0.12572,0.12755,0.13095,0.13413,0.13816,0.14233,0.14383,0.14316,0.14419,0.14532,0.1468,0.14972,0.15259,0.15532,0.15833,0.16106,0.16361,0.16612,0.16861,0.17109,0.17354,0.17599,0.17843,0.18087
Hong Kong,5.0631,5.1834,5.2645,5.3451,5.3979,5.4562,5.5246,5.58451,5.62841,5.66072,5.68796,5.752,5.8297,5.93451,6.06729,6.22535,6.39156,6.49592,6.54456,6.59931,6.65872,6.71338,6.76248,6.80974,6.85513,6.89869,6.94043,6.98041,7.01864,7.05507,7.08971
India,684.8877,699.15377,713.71094,728.52155,744.01697,759.61221,775.06324,790.64043,806.3794,822.21883,838.15883,853.72439,870.11319,886.74371,903.57929,920.58497,937.72548,954.92605,972.11281,989.25019,1006.3003,1023.29508,1040.28482,1057.25112,1074.15902,1090.97303,1107.62435,1124.1348,1140.56621,1156.89777,1173.10802
Indonesia,151.0244,154.13906,157.27963,160.44071,163.61264,166.77028,169.89552,173.01546,176.16566,179.33997,182.51628,185.70794,188.90468,192.09324,195.3278,198.63437,202.01216,205.27672,208.47748,211.6872,214.67661,217.83628,220.97191,223.06967,226.00413,228.89575,231.82024,234.694,237.51236,240.27152,242.96834
Japan,116.80731,117.64809,118.45497,119.26995,120.0347,120.75434,121.49191,122.09133,122.613,123.1075,123.5374,123.94627,124.32927,124.66802,125.01405,125.34135,125.64531,125.95649,126.24609,126.4944,126.72922,126.97191,127.18724,127.35774,127.4805,127.53719,127.51517,127.43349,127.28842,127.07868,126.80443
Kiribati,0.05754,0.05845,0.05935,0.06025,0.06115,0.06203,0.06377,0.06559,0.06748,0.06939,0.07129,0.07266,0.07363,0.07467,0.07561,0.07654,0.0779,0.07969,0.08153,0.08334,0.08512,0.08676,0.08826,0.0897,0.09112,0.09259,0.09406,0.09548,0.09686,0.09819,0.09948
"Korea, North",17.11363,17.38401,17.64752,17.91799,18.196,18.48142,18.77246,19.06755,19.37114,19.68791,20.01855,20.36109,20.71138,21.07265,21.32897,21.53398,21.60596,21.47045,21.20487,21.10209,21.26345,21.49473,21.71214,21.89828,22.05448,22.19857,22.33156,22.45422,22.56535,22.66535,22.75728
"Korea, South",38.124,38.723,39.326,39.91,40.406,40.806,41.214,41.622,42.031,42.449,42.869,43.33991,43.83712,44.30704,44.7189,45.10508,45.46797,45.80783,46.15151,46.48542,46.83884,47.17781,47.43728,47.65663,47.85385,48.00516,48.12356,48.25015,48.37939,48.50897,48.63607
Laos,3.29316,3.33698,3.41116,3.49496,3.57671,3.65717,3.76177,3.86931,3.97988,4.09357,4.21045,4.33063,4.45418,4.58122,4.71183,4.84612,4.94763,5.0549,5.16765,5.28581,5.39741,5.49852,5.57803,5.654,5.74604,5.83636,5.93079,6.03541,6.14518,6.25687,6.36816
Macau,0.25577,0.26093,0.27081,0.28545,0.29898,0.30584,0.3122,0.32298,0.33214,0.34124,0.35176,0.36386,0.37533,0.3844,0.39294,0.4013,0.4104,0.41699,0.42161,0.42777,0.43174,0.43478,0.43898,0.44418,0.45523,0.47403,0.49943,0.52553,0.54567,0.55985,0.56796
